language	translation_id	chapter	mode	dist_interlinear
eng	berean-literal-bible	PHP 1	Literal	0.22754479796015867
eng	berean-literal-bible	PHP 2	Literal	0.26955765709810664
eng	berean-literal-bible	PHP 3	Literal	0.3698012926168578
eng	berean-literal-bible	PHP 4	Literal	0.27440505728575937
eng	berean-literal-bible	REV 1	Literal	0.24360749662732906
eng	berean-literal-bible	REV 10	Literal	0.29280823089199703
eng	berean-literal-bible	REV 11	Literal	0.22651944960726322
eng	berean-literal-bible	REV 12	Literal	0.2883555666924919
eng	berean-literal-bible	REV 13	Literal	0.28383587197611165
eng	berean-literal-bible	REV 14	Literal	0.238942878270041
eng	berean-literal-bible	REV 15	Literal	0.2930661276788138
eng	berean-literal-bible	REV 16	Literal	0.2145281347405051
eng	berean-literal-bible	REV 17	Literal	0.25320762495097937
eng	berean-literal-bible	REV 18	Literal	0.2414358995770929
eng	berean-literal-bible	REV 19	Literal	0.2679558090876418
eng	berean-literal-bible	REV 2	Literal	0.20568910538817378
eng	berean-literal-bible	REV 20	Literal	0.2536857184901871
eng	berean-literal-bible	REV 21	Literal	0.24456074129051086
eng	berean-literal-bible	REV 22	Literal	0.29585918972835895
eng	berean-literal-bible	REV 3	Literal	0.23241254435564251
eng	berean-literal-bible	REV 4	Literal	0.27868940150274674
eng	berean-literal-bible	REV 5	Literal	0.24815576183449414
eng	berean-literal-bible	REV 6	Literal	0.23879549698999644
eng	berean-literal-bible	REV 7	Literal	0.21017206759577195
eng	berean-literal-bible	REV 8	Literal	0.24884379865211348
eng	berean-literal-bible	REV 9	Literal	0.23778274726157222
eng	berean-literal-bible	ROM 1	Literal	0.29696810521451383
eng	berean-literal-bible	ROM 10	Literal	0.35680377583783895
eng	berean-literal-bible	ROM 11	Literal	0.26145228894917033
eng	berean-literal-bible	ROM 12	Literal	0.29734968173136705
eng	berean-literal-bible	ROM 13	Literal	0.31952272498906115
eng	berean-literal-bible	ROM 14	Literal	0.28691011348592793
eng	berean-literal-bible	ROM 15	Literal	0.30975587188693265
eng	berean-literal-bible	ROM 16	Literal	0.24705795984612444
eng	berean-literal-bible	ROM 2	Literal	0.34173556067034405
eng	berean-literal-bible	ROM 3	Literal	0.2939231685843376
eng	berean-literal-bible	ROM 4	Literal	0.2843759106294933
eng	berean-literal-bible	ROM 5	Literal	0.3313410520118298
eng	berean-literal-bible	ROM 6	Literal	0.29611869604544216
eng	berean-literal-bible	ROM 7	Literal	0.31103304660055103
eng	berean-literal-bible	ROM 8	Literal	0.27943255857460414
eng	berean-literal-bible	ROM 9	Literal	0.3508252557928589
eng	berean-literal-bible	TIT 1	Literal	0.22038217313205535
eng	berean-literal-bible	TIT 2	Literal	0.28725045995866105
eng	berean-literal-bible	TIT 3	Literal	0.322806742203069
eng	bible-in-basic-english	1CO 1	Dynamic	0.30560059985617705
eng	bible-in-basic-english	1CO 10	Dynamic	0.4518732372659644
eng	bible-in-basic-english	1CO 11	Dynamic	0.34726191491543623
eng	bible-in-basic-english	1CO 12	Dynamic	0.41547759437138965
eng	bible-in-basic-english	1CO 13	Dynamic	0.3511066981848137
eng	bible-in-basic-english	1CO 14	Dynamic	0.41316516241132534
eng	bible-in-basic-english	1CO 15	Dynamic	0.43436673197134834
eng	bible-in-basic-english	1CO 16	Dynamic	0.35646969441302034
eng	bible-in-basic-english	1CO 2	Dynamic	0.43839790557501396
eng	bible-in-basic-english	1CO 3	Dynamic	0.3890526833923561
eng	bible-in-basic-english	1CO 4	Dynamic	0.4487444586886588
eng	bible-in-basic-english	1CO 5	Dynamic	0.4525103389296811
eng	bible-in-basic-english	1CO 6	Dynamic	0.4334022384401751
eng	bible-in-basic-english	1CO 7	Dynamic	0.3288833986004601
eng	bible-in-basic-english	1CO 8	Dynamic	0.5062236323987468
eng	bible-in-basic-english	1CO 9	Dynamic	0.3717233798756751
eng	bible-in-basic-english	1JN 1	Dynamic	0.42207701277312015
eng	bible-in-basic-english	1JN 2	Dynamic	0.4313984804492024
eng	bible-in-basic-english	1JN 3	Dynamic	0.4267544640214628
eng	bible-in-basic-english	1JN 4	Dynamic	0.4062912029400485
eng	bible-in-basic-english	1JN 5	Dynamic	0.4829936720899534
eng	bible-in-basic-english	1PE 1	Dynamic	0.4417410077358998
eng	bible-in-basic-english	1PE 2	Dynamic	0.44163608689195444
eng	bible-in-basic-english	1PE 3	Dynamic	0.42622915528892724
eng	bible-in-basic-english	1PE 4	Dynamic	0.5277731759741594
eng	bible-in-basic-english	1PE 5	Dynamic	0.48588001871289327
eng	bible-in-basic-english	1TH 1	Dynamic	0.43161772125175396
eng	bible-in-basic-english	1TH 2	Dynamic	0.371747838994715
eng	bible-in-basic-english	1TH 3	Dynamic	0.32790079306021047
eng	bible-in-basic-english	1TH 4	Dynamic	0.4999763857464857
eng	bible-in-basic-english	1TH 5	Dynamic	0.3592386200248513
eng	bible-in-basic-english	1TI 1	Dynamic	0.4082362383322947
eng	bible-in-basic-english	1TI 2	Dynamic	0.433940242702486
eng	bible-in-basic-english	1TI 3	Dynamic	0.5263664357501445
eng	bible-in-basic-english	1TI 4	Dynamic	0.49379856287641566
eng	bible-in-basic-english	1TI 5	Dynamic	0.33911883252036445
eng	bible-in-basic-english	1TI 6	Dynamic	0.40430265110422353
eng	bible-in-basic-english	2CO 1	Dynamic	0.32436898030769057
eng	bible-in-basic-english	2CO 10	Dynamic	0.5237620607640949
eng	bible-in-basic-english	2CO 11	Dynamic	0.38918684645430507
eng	bible-in-basic-english	2CO 12	Dynamic	0.36004101684287276
eng	bible-in-basic-english	2CO 13	Dynamic	0.42406944843070465
eng	bible-in-basic-english	2CO 2	Dynamic	0.41003571373627185
eng	bible-in-basic-english	2CO 3	Dynamic	0.4226995772673577
eng	bible-in-basic-english	2CO 4	Dynamic	0.5002527057770195
eng	bible-in-basic-english	2CO 5	Dynamic	0.5233617433564148
eng	bible-in-basic-english	2CO 6	Dynamic	0.5036195062335893
eng	bible-in-basic-english	2CO 7	Dynamic	0.4375832279301321
eng	bible-in-basic-english	2CO 8	Dynamic	0.30249506276789156
eng	bible-in-basic-english	2CO 9	Dynamic	0.4806539899439892
eng	bible-in-basic-english	2JN 1	Dynamic	0.5221393965252749
eng	bible-in-basic-english	2PE 1	Dynamic	0.377117841976431
eng	bible-in-basic-english	2PE 2	Dynamic	0.34964475030842024
eng	bible-in-basic-english	2PE 3	Dynamic	0.45117140663913
eng	bible-in-basic-english	2TH 1	Dynamic	0.42076548146825077
eng	bible-in-basic-english	2TH 2	Dynamic	0.49221355299098857
eng	bible-in-basic-english	2TH 3	Dynamic	0.5189217478388094
eng	bible-in-basic-english	2TI 1	Dynamic	0.35126807628054746
eng	bible-in-basic-english	2TI 2	Dynamic	0.4867880828084792
eng	bible-in-basic-english	2TI 3	Dynamic	0.4690419773423253
eng	bible-in-basic-english	2TI 4	Dynamic	0.39775075557468803
eng	bible-in-basic-english	3JN 1	Dynamic	0.38965317335632316
eng	bible-in-basic-english	ACT 1	Dynamic	0.37972991818914953
eng	bible-in-basic-english	ACT 10	Dynamic	0.26067924541117743
eng	bible-in-basic-english	ACT 11	Dynamic	0.3240170966275085
eng	bible-in-basic-english	ACT 12	Dynamic	0.3216958841345232
eng	bible-in-basic-english	ACT 13	Dynamic	0.33725457890758426
eng	bible-in-basic-english	ACT 14	Dynamic	0.2997360305504054
eng	bible-in-basic-english	ACT 15	Dynamic	0.2938227727302816
eng	bible-in-basic-english	ACT 16	Dynamic	0.27252638889276304
eng	bible-in-basic-english	ACT 17	Dynamic	0.28565064300134213
eng	bible-in-basic-english	ACT 18	Dynamic	0.23103646934410316
eng	bible-in-basic-english	ACT 19	Dynamic	0.30953859448416543
eng	bible-in-basic-english	ACT 2	Dynamic	0.29201756845463844
eng	bible-in-basic-english	ACT 20	Dynamic	0.2655558612966315
eng	bible-in-basic-english	ACT 21	Dynamic	0.3079950892323292
eng	bible-in-basic-english	ACT 22	Dynamic	0.4953602486085881
eng	bible-in-basic-english	ACT 23	Dynamic	0.35162312595031897
eng	bible-in-basic-english	ACT 24	Dynamic	0.28239820189908316
eng	bible-in-basic-english	ACT 25	Dynamic	0.24873577547947998
eng	bible-in-basic-english	ACT 26	Dynamic	0.42874547744871133
eng	bible-in-basic-english	ACT 27	Dynamic	0.28315010130503715
eng	bible-in-basic-english	ACT 28	Dynamic	0.4174292791163608
eng	bible-in-basic-english	ACT 3	Dynamic	0.34190187614308964
eng	bible-in-basic-english	ACT 4	Dynamic	0.2860462040614968
eng	bible-in-basic-english	ACT 5	Dynamic	0.26095139769425735
eng	bible-in-basic-english	ACT 6	Dynamic	0.320416909410073
eng	bible-in-basic-english	ACT 7	Dynamic	0.37003619704697693
eng	bible-in-basic-english	ACT 8	Dynamic	0.2789957937333983
eng	bible-in-basic-english	ACT 9	Dynamic	0.3545609301043703
eng	bible-in-basic-english	COL 1	Dynamic	0.36279368895039554
eng	bible-in-basic-english	COL 2	Dynamic	0.421665761148265
eng	bible-in-basic-english	COL 3	Dynamic	0.5059855294025306
eng	bible-in-basic-english	COL 4	Dynamic	0.492017856320207
eng	bible-in-basic-english	EPH 1	Dynamic	0.373684573729618
eng	bible-in-basic-english	EPH 2	Dynamic	0.4627285265261071
eng	bible-in-basic-english	EPH 3	Dynamic	0.35700430463261656
eng	bible-in-basic-english	EPH 4	Dynamic	0.4455741241216198
eng	bible-in-basic-english	EPH 5	Dynamic	0.45363396415346324
eng	bible-in-basic-english	EPH 6	Dynamic	0.4852722270930804
eng	bible-in-basic-english	GAL 1	Dynamic	0.38264560809221027
eng	bible-in-basic-english	GAL 2	Dynamic	0.3570954744482054
eng	bible-in-basic-english	GAL 3	Dynamic	0.3896339477327008
eng	bible-in-basic-english	GAL 4	Dynamic	0.4200555673339293
eng	bible-in-basic-english	GAL 5	Dynamic	0.420165755491204
eng	bible-in-basic-english	GAL 6	Dynamic	0.4690330818698268
eng	bible-in-basic-english	HEB 1	Dynamic	0.4236072010308915
eng	bible-in-basic-english	HEB 10	Dynamic	0.5424180967524305
eng	bible-in-basic-english	HEB 11	Dynamic	0.37363031669192975
eng	bible-in-basic-english	HEB 12	Dynamic	0.40547005933153313
eng	bible-in-basic-english	HEB 13	Dynamic	0.5844647200355799
eng	bible-in-basic-english	HEB 2	Dynamic	0.45411546295361405
